"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "HTML", "XML", "comment", "blank", "total"
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\package-lock.json", "JSON", 30735, 0, 0, 0, 0, 0, 0, 1, 30736
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 1, 53
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 3, 23
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\public\manifest.json", "JSON", 15, 0, 0, 0, 0, 0, 11, 1, 27
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\App.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 3, 61
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\assets\svg\spinner.svg", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 15
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\components\Contact.jsx", "JavaScript", 0, 57, 0, 0, 0, 0, 15, 5, 77
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\components\Header.jsx", "JavaScript", 0, 72, 0, 0, 0, 0, 10, 7, 89
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\components\ListingItem.jsx", "JavaScript", 0, 78, 0, 0, 0, 0, 5, 3, 86
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\components\OAuth.jsx", "JavaScript", 0, 40, 0, 0, 0, 0, 9, 5, 54
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\components\PrivateRoute.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 4, 3, 18
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\components\Spinner.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 2, 14
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\firebase.js", "JavaScript", 0, 12, 0, 0, 0, 0, 5, 3, 20
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\hooks\useAuthStatus.jsx", "JavaScript", 0, 16, 0, 0, 0, 0, 6, 4, 26
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\index.css", "CSS", 0, 0, 0, 6, 0, 0, 8, 3, 17
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\CreateListing.jsx", "JavaScript", 0, 446, 0, 0, 0, 0, 93, 29, 568
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\EditListing.jsx", "JavaScript", 0, 478, 0, 0, 0, 0, 108, 33, 619
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\ForgotPassword.jsx", "JavaScript", 0, 79, 0, 0, 0, 0, 2, 7, 88
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\Home.jsx", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 2, 8
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\Listing.jsx", "JavaScript", 0, 162, 0, 0, 0, 0, 24, 6, 192
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\Offers.jsx", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 2, 8
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\Profile.jsx", "JavaScript", 0, 178, 0, 0, 0, 0, 48, 17, 243
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\SignIn.jsx", "JavaScript", 0, 116, 0, 0, 0, 0, 5, 4, 125
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\pages\SignUp.jsx", "JavaScript", 0, 136, 0, 0, 0, 0, 4, 5, 145
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"e:\proiecte\Proiect-react-real-estate-app\iplace-real-estate-app\tailwind.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 1, 0, 11
"Total", "-", 30802, 2003, 38, 6, 20, 15, 366, 189, 33439
